"id";"ts";"v_ms";"h_m";"A_m3";"Q_m3s"
236;"2021-08-16 14:09:29.5";4,05701;0,855;4,52734;18,36747
237;"2021-08-16 14:09:30";4,06465;0,856;4,53521;18,43403
238;"2021-08-16 14:09:30.5";4,02902;0,867;4,62208;18,62245
239;"2021-08-16 14:09:31";3,99502;0,872;4,66174;18,62373
240;"2021-08-16 14:09:31.5";4,00584;0,871;4,6538;18,64238
241;"2021-08-16 14:09:32";4,05229;0,875;4,68559;18,98738
242;"2021-08-16 14:09:32.5";4,07645;0,88;4,72542;19,26292
243;"2021-08-16 14:09:33";4,05082;0,881;4,7334;19,17414
244;"2021-08-16 14:09:33.5";4,01161;0,905;4,9262;19,76199
245;"2021-08-16 14:09:34";4,0135;0,864;4,59833;18,4554
246;"2021-08-16 14:09:34.5";4,1024;0,872;4,66174;19,12433
247;"2021-08-16 14:09:35";4,202;0,878;4,70947;19,78923
248;"2021-08-16 14:09:35.5";4,21083;0,884;4,75737;20,03248
249;"2021-08-16 14:09:36";4,12106;0,886;4,77336;19,67131
250;"2021-08-16 14:09:36.5";4,04868;0,918;5,03166;20,37155
251;"2021-08-16 14:09:37";4,05277;0,904;4,91812;19,93201
252;"2021-08-16 14:09:37.5";4,02567;0,913;4,99101;20,09219
253;"2021-08-16 14:09:38";3,97518;0,917;5,02352;19,96939
254;"2021-08-16 14:09:38.5";3,99056;0,911;4,97478;19,85216
255;"2021-08-16 14:09:39";4,07344;0,904;4,91812;20,03366
256;"2021-08-16 14:09:39.5";4,15734;0,895;4,84557;20,14465
257;"2021-08-16 14:09:40";4,16004;0,89;4,80541;19,99073
258;"2021-08-16 14:09:40.5";4,08218;0,858;4,55096;18,57786
259;"2021-08-16 14:09:41";3,98325;0,906;4,93429;19,65452
260;"2021-08-16 14:09:41.5";3,88073;0,941;5,21997;20,25732
261;"2021-08-16 14:09:42";3,857;0,95;5,29426;20,41996
262;"2021-08-16 14:09:42.5";3,92648;0,934;5,16242;20,27017
263;"2021-08-16 14:09:43";4,02962;0,938;5,19528;20,93504
264;"2021-08-16 14:09:43.5";4,11295;0,946;5,2612;21,63908
265;"2021-08-16 14:09:44";4,12242;0,946;5,2612;21,68887
266;"2021-08-16 14:09:44.5";4,13163;0,949;5,28599;21,83972
267;"2021-08-16 14:09:45";4,15553;0,949;5,28599;21,96606
